sequence     support of tail itemset     significance

{(IntellDtAnal0),(IntellDtAnal-)} {228,95} {12}

{(IntellDtAnal+),(IntellDtAnal0)} {236,96} {9.2}

{(IntellDtAnal+),(IntellDtAnal0),(IntellDtAnal-)} {236,96,61} {9.2,14.6}

{(JMLR0),(JMLR-)} {283,147} {10.3}

{(ICML+,JMLR+),(JMLR0)} {153,97} {9}

{(ICML+,JMLR+),(JMLR0),(JMLR-)} {153,97,103} {9,17.2}

{(BioInfo0,BMCBio+),(BMCBio-)} {181,53} {9.2}

{(ICML0,MachineLearning0),(MachineLearning-)} {134,123} {8.3}

{(ICDM0,SDM+),(SDM-)} {111,54} {8.6}

{(IJCAI0,AAAI+),(IJCAI-,AAAI+)} {141,51} {8.8}
