sequence     support of tail itemset     headSup

{(IntellDtAnal+),(IntellDtAnal0)} {236,96} {0.001}

{(JMLR0),(JMLR-)} {283,147} {0.001}

{(JMLR0),(ICML-)} {283,207} {0.002}

{(ICDT+),(PODS-)} {288,213} {0.001}

{(PatternRecog0),(PatternRecog-)} {336,101} {0.001}

{(JIntellInfSys+),(JIntellInfSys0)} {352,221} {0.002}

{(PatternRecog-),(PatternRecog+)} {362,123} {0.001}

{(PatternRecog-),(PatternRecog-)} {362,101} {0.001}

{(JMLR+),(JMLR0)} {365,152} {0.001}

{(JMLR+),(JMLR+)} {365,135} {0.001}

{(JMLR+),(MachineLearning-)} {365,136} {0.001}

{(JMLR+),(ICML-)} {365,203} {0.002}

{(SIGKDDExp+),(SIGKDDExp0)} {377,195} {0.001}

{(SIGKDDExp+),(KDD-)} {377,245} {0.002}

{(SIGKDDExp+),(ICDM-)} {377,177} {0.001}

{(ECAI-),(ECAI0)} {379,162} {0.001}

{(ECAI-),(ECAI-)} {379,127} {0.001}

{(DMKD+),(DMKD0)} {380,223} {0.001}

{(IEEEIntSys+),(IEEEIntSys0)} {382,161} {0.001}

{(BioInfo-),(BioInfo-)} {418,163} {0.001}

{(MachineLearning-),(MachineLearning-)} {427,186} {0.001}

{(MachineLearning-),(ICML-)} {427,248} {0.002}

{(PODS-),(PODS-)} {439,291} {0.001}

{(PODS0),(PODS-)} {441,337} {0.001}

{(JIntellInfSys0),(JIntellInfSys0)} {444,189} {0.001}

{(JIntellInfSys0),(JIntellInfSys-)} {444,205} {0.001}

{(KnowlInfSyst+),(KnowlInfSyst0)} {454,263} {0.001}

{(KnowlInfSyst+),(ICDM-)} {454,225} {0.001}

{(PODS+),(PODS0)} {454,271} {0.001}

{(PODS+),(PODS-)} {454,281} {0.001}

{(PAKDD0),(PAKDD-)} {519,236} {0.001}

{(ACMTransDBSys+),(PVLDB+)} {527,371} {0.001}

{(ACMTransDBSys+),(ACMTransDBSys0)} {527,367} {0.001}

{(BioInfo0),(BioInfo-)} {532,203} {0.002}

